id;defaulted;credit_amount;annual_installment;term;interest_rate_type;property_type;property_quality_rating;annual_income;number_of_children;number_of_family_members;own_car;own_realty;gender;years_employed;age;currently_employed;education_type;family_status;customer_group
0;no;588000;20100;29;variable;house;0.3;99600;0;1;true;false;female;14;37;true;incomplete higher;married;higher_value
1;no;1022000;30800;35;fixed;house;0.1;99400;1;1;true;true;male;2;28;true;lower secondary;married;higher_value
2;no;314000;10700;31;variable;house;0.6;44900;1;2;false;true;male;10;34;true;academic degree;single;lower_value
3;no;126000;12100;11;fixed;house;0.3;47600;1;2;false;true;male;25;51;true;lower;single;lower_value
4;no;47000;5400;10;fixed;house;0.1;37200;2;3;false;false;male;30;66;true;incomplete higher;divorced;lower_value
5;no;531000;32600;17;variable;apartment;0.5;85600;2;2;false;true;male;24;46;true;academic degree;widowed;lower_value
6;no;292000;8400;35;variable;house;0.7;27000;1;1;true;true;male;11;34;false;secondary;married;lower_value
7;no;263000;6800;40;fixed;house;0.5;25700;2;2;true;false;male;6;28;true;lower secondary;married;lower_value
8;no;355000;25400;14;fixed;apartment;0.1;103000;1;2;false;true;female;30;60;true;academic degree;widowed;higher_value
9;no;419000;21000;20;variable;house;0.3;71300;1;1;true;false;male;13;36;true;secondary;single;lower_value
10;no;139000;28500;5;variable;apartment;0.1;96500;0;1;true;false;male;30;65;false;lower secondary;single;higher_value
11;yes;742300;28000;29;variable;apartment;0.4;60300;2;1;true;false;male;11;35;true;lower secondary;divorced;lower_value
12;no;357000;25400;15;variable;house;1;56400;2;2;true;true;female;27;49;true;academic degree;married;lower_value
13;no;549000;19700;31;variable;house;0.6;81600;1;2;true;true;male;13;35;true;secondary;widowed;lower_value
14;no;222000;18500;12;fixed;apartment;0.7;58400;1;1;true;true;male;30;59;true;lower secondary;divorced;lower_value
15;no;913000;36700;27;variable;apartment;0.4;74500;1;1;true;true;male;14;36;true;secondary;widowed;lower_value
16;no;373000;9400;40;variable;apartment;1;43300;1;2;true;true;male;7;29;true;incomplete higher;married;lower_value
17;no;360000;12500;30;fixed;house;0.8;49000;2;3;false;true;male;9;30;true;academic degree;divorced;lower_value
18;no;920000;28600;33;fixed;apartment;0.4;57600;2;2;true;false;male;2;27;true;academic degree;single;lower_value
19;no;969000;32700;31;fixed;apartment;0.9;78000;2;2;true;true;female;12;35;true;lower secondary;married;lower_value
20;yes;356400;23200;17;variable;house;0.4;41400;2;2;true;false;male;30;49;false;incomplete higher;married;lower_value
21;no;473000;19600;25;fixed;apartment;0.4;78300;0;1;false;true;male;10;33;true;lower secondary;single;lower_value
22;no;1098000;28400;40;variable;house;0.9;108900;2;3;false;false;male;0;21;true;lower;married;higher_value
23;no;391000;16500;24;variable;house;1;42000;2;2;true;false;male;18;38;false;incomplete higher;married;lower_value
24;no;486100;25700;20;variable;apartment;1;106900;0;1;false;false;female;23;45;true;lower;single;higher_value
25;no;377000;11800;32;fixed;apartment;0.5;69500;0;1;true;true;male;3;28;true;secondary;married;lower_value
26;no;424000;20900;20;variable;apartment;0.3;63100;2;1;false;false;female;26;47;true;secondary;married;lower_value
27;no;656000;25700;26;variable;house;0.6;96500;0;1;true;true;male;8;32;true;secondary;married;higher_value
28;no;91600;10900;9;fixed;house;0.1;39500;2;2;true;true;female;30;54;false;lower;married;lower_value
29;no;81000;11700;7;fixed;house;0.2;23500;3;3;false;true;male;30;61;true;academic degree;married;lower_value
30;no;525000;20100;28;fixed;house;1;56000;2;1;true;true;male;14;42;true;academic degree;married;lower_value
31;no;74000;15000;5;variable;apartment;0.4;30800;3;2;true;false;female;30;72;false;lower;married;lower_value
32;no;332000;14200;24;variable;apartment;0.5;28600;1;1;true;true;female;24;46;true;academic degree;widowed;lower_value
33;no;1023000;20300;52;variable;apartment;0.4;67400;2;2;false;false;male;0;21;true;lower;married;lower_value
34;no;1093000;32400;35;fixed;house;1;80200;2;1;false;true;male;7;33;true;academic degree;married;lower_value
35;no;72000;15900;5;variable;apartment;0.3;46800;1;1;true;false;male;30;63;true;academic degree;divorced;lower_value
36;no;907000;24900;39;variable;apartment;0.7;53700;2;2;true;false;male;1;24;true;academic degree;married;lower_value
37;no;724000;26800;27;variable;house;0.9;75800;2;3;true;false;male;14;39;true;secondary;single;lower_value
38;no;247000;18200;14;fixed;apartment;0.7;83600;1;2;true;false;female;22;47;true;lower;single;lower_value
39;no;537000;17200;32;variable;house;0.3;44900;1;1;false;true;female;6;30;true;academic degree;divorced;lower_value
40;no;488000;15500;34;variable;apartment;0.9;73900;0;1;true;false;male;7;31;false;lower secondary;married;lower_value
41;no;396000;17800;23;variable;apartment;1;46500;2;2;true;true;male;16;39;true;lower secondary;married;lower_value
42;no;1347000;37200;37;variable;house;0.6;89400;2;2;false;true;male;7;29;true;academic degree;single;lower_value
43;no;1057000;29000;37;variable;house;0.5;105000;1;2;true;true;female;11;34;true;lower secondary;single;higher_value
44;no;490000;16100;33;fixed;apartment;0.5;58400;2;3;true;true;female;3;28;true;lower;married;lower_value
45;no;192000;9800;21;variable;apartment;0.4;26300;2;2;false;false;male;19;41;true;incomplete higher;single;lower_value
46;no;283000;12900;23;variable;apartment;0.6;62100;2;3;true;false;male;15;38;true;lower secondary;divorced;lower_value
47;no;113000;7700;16;variable;apartment;0.4;40800;2;3;true;false;male;27;49;true;lower;single;lower_value
48;no;521000;21500;26;variable;apartment;0.2;56700;3;3;false;true;female;16;35;true;lower secondary;divorced;lower_value
49;no;296000;29000;10;variable;house;0.6;97800;1;2;true;true;male;30;60;true;academic degree;divorced;higher_value
50;no;173300;17500;11;fixed;house;0.3;55300;1;2;true;true;male;30;67;false;lower;married;lower_value
51;no;94000;12300;8;variable;apartment;0.3;39100;2;2;true;false;male;30;63;true;lower;married;lower_value
52;no;544000;29300;19;variable;house;0.2;98600;0;1;false;false;male;17;39;true;lower secondary;single;higher_value
53;no;1204000;26300;48;variable;apartment;0.3;98800;1;2;false;true;female;2;23;true;academic degree;married;higher_value
54;yes;514000;43100;13;fixed;house;0.1;110300;2;3;false;false;female;14;42;true;lower;divorced;higher_value
55;no;83000;12800;7;fixed;house;0.2;61500;1;2;true;true;male;30;67;true;lower secondary;divorced;lower_value
56;no;374000;26000;15;fixed;apartment;0.4;52100;2;1;true;true;female;20;42;true;lower;divorced;lower_value
57;no;191800;19100;10;variable;house;0.2;76200;2;3;true;false;male;30;61;true;lower secondary;single;lower_value
58;no;895000;26100;35;variable;house;0.6;93500;1;1;false;true;female;11;34;true;lower;single;higher_value
59;no;459000;32600;15;variable;house;0.3;81400;2;2;true;false;male;30;62;true;lower;married;lower_value
